name,category,lat,lon,tags
Shell Schaapweg,fuel,52.0424038,4.2942901,"{""addr:city"": ""Rijswijk"", ""addr:housenumber"": ""1"", ""addr:postcode"": ""2285SP"", ""addr:street"": ""Schaapweg"", ""amenity"": ""fuel"", ""brand"": ""Shell"", ""brand:wikidata"": ""Q110716465"", ""compressed_air"": ""yes"", ""name"": ""Shell Schaapweg"", ""opening_hours"": ""24/7"", ""operator"": ""Shell"", ""operator:wikidata"": ""Q110716465"", ""phone"": ""+31 70 366 7664"", ""website"": ""https://find.shell.com/nl/fuel/10030489-shell-station-schaapweg""}"
"Rijswijk, Huis te Landelaan",stop_position,52.043054,4.3222666,"{""bus"": ""yes"", ""name"": ""Rijswijk, Huis te Landelaan"", ""public_transport"": ""stop_position"", ""shelter"": ""yes"", ""zone"": ""5416""}"
(unnamed),parking,52.0447078,4.3320896,"{""amenity"": ""parking"", ""source"": ""AND""}"
"Rijswijk, Van Vredenburchweg",stop_position,52.0458523,4.3171388,"{""bus"": ""yes"", ""name"": ""Rijswijk, Van Vredenburchweg"", ""public_transport"": ""stop_position""}"
Eikelenburg,stop_position,52.0226064,4.3061364,"{""name"": ""Eikelenburg"", ""operator"": ""HTM"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""route_ref"": ""17"", ""shelter"": ""yes"", ""source"": ""HTM"", ""tram"": ""yes"", ""zone"": ""5428""}"
Weidedreef,stop_position,52.028133,4.3189658,"{""name"": ""Weidedreef"", ""operator"": ""HTM"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""route_ref"": ""17"", ""shelter"": ""yes"", ""source"": ""HTM"", ""tram"": ""yes"", ""zone"": ""5416""}"
Bogaard stadscentrum,stop_position,52.0346475,4.3170549,"{""name"": ""Bogaard stadscentrum"", ""network"": ""Rail Haaglanden"", ""network:wikidata"": ""Q108718111"", ""operator"": ""HTM"", ""operator:wikidata"": ""Q132168"", ""operator:wikipedia"": ""nl:HTM Personenvervoer"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""route_ref"": ""17"", ""shelter"": ""yes"", ""source"": ""HTM"", ""stop_position"": ""right"", ""tram"": ""yes"", ""zone"": ""5416""}"
Treubstraat,stop_position,52.03947,4.3260061,"{""name"": ""Treubstraat"", ""operator"": ""HTM"", ""operator:wikidata"": ""Q132168"", ""operator:wikipedia"": ""nl:HTM Personenvervoer"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""shelter"": ""yes"", ""source"": ""HTM"", ""tram"": ""yes"", ""zone"": ""5416""}"
Treubstraat,stop_position,52.0392718,4.3262778,"{""name"": ""Treubstraat"", ""operator"": ""HTM"", ""operator:wikidata"": ""Q132168"", ""operator:wikipedia"": ""nl:HTM Personenvervoer"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""shelter"": ""yes"", ""source"": ""HTM"", ""tram"": ""yes"", ""zone"": ""5416""}"
Volmerlaan,stop_position,52.0372369,4.3311316,"{""name"": ""Volmerlaan"", ""operator"": ""HTM"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""route_ref"": ""17"", ""shelter"": ""yes"", ""source"": ""HTM"", ""tram"": ""yes"", ""zone"": ""5416""}"
Handelskade,stop_position,52.0442344,4.336569,"{""name"": ""Handelskade"", ""operator"": ""HTM"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""route_ref"": ""17"", ""shelter"": ""yes"", ""source"": ""HTM"", ""tram"": ""yes"", ""zone"": ""5416""}"
Handelskade,stop_position,52.0449194,4.3356003,"{""name"": ""Handelskade"", ""operator"": ""HTM"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""route_ref"": ""17"", ""shelter"": ""yes"", ""source"": ""HTM"", ""tram"": ""yes"", ""zone"": ""5416""}"
Generaal Spoorlaan,stop_position,52.0485574,4.3306807,"{""name"": ""Generaal Spoorlaan"", ""operator"": ""HTM"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""route_ref"": ""17"", ""shelter"": ""yes"", ""source"": ""HTM"", ""tram"": ""yes"", ""zone"": ""5416""}"
Aletta Jacobsstraat,stop_position,52.0246956,4.3124204,"{""name"": ""Aletta Jacobsstraat"", ""operator"": ""HTM"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""route_ref"": ""17"", ""shelter"": ""yes"", ""source"": ""HTM"", ""tram"": ""yes"", ""zone"": ""5416""}"
Patentlaan,stop_position,52.0414826,4.3388988,"{""name"": ""Patentlaan"", ""network"": ""Rail Haaglanden"", ""network:wikidata"": ""Q108718111"", ""operator"": ""HTM"", ""operator:wikidata"": ""Q132168"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""route_ref"": ""17"", ""shelter"": ""yes"", ""source"": ""HTM"", ""tram"": ""yes"", ""zone"": ""5416""}"
"Rijswijk, Station",stop_position,52.0375294,4.3225316,"{""bus"": ""yes"", ""local_ref"": ""A"", ""name"": ""Rijswijk, Station"", ""public_transport"": ""stop_position"", ""ref"": ""A""}"
"Rijswijk, Station",stop_position,52.0374377,4.322033,"{""bus"": ""yes"", ""local_ref"": ""D"", ""name"": ""Rijswijk, Station"", ""public_transport"": ""stop_position"", ""ref"": ""D""}"
Admiraal Helfrichsingel,stop_position,52.0324691,4.3176623,"{""name"": ""Admiraal Helfrichsingel"", ""network"": ""Rail Haaglanden"", ""network:wikidata"": ""Q108718111"", ""operator"": ""HTM"", ""operator:wikidata"": ""Q132168"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""route_ref"": ""17"", ""shelter"": ""yes"", ""source"": ""HTM"", ""tram"": ""yes"", ""zone"": ""5416""}"
Station Rijswijk,stop_position,52.0373831,4.3220746,"{""local_ref"": ""C"", ""name"": ""Station Rijswijk"", ""operator"": ""HTM"", ""operator:wikidata"": ""Q132168"", ""operator:wikipedia"": ""nl:HTM Personenvervoer"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""ref"": ""C"", ""route_ref"": ""17"", ""shelter"": ""yes"", ""source"": ""HTM"", ""stop_position"": ""left"", ""tram"": ""yes"", ""zone"": ""5416""}"
BP De Boogaard,fuel,52.0362899,4.3127546,"{""addr:city"": ""Rijswijk"", ""addr:housenumber"": ""1"", ""addr:postcode"": ""2285VL"", ""addr:street"": ""J.C. van Markenlaan"", ""amenity"": ""fuel"", ""brand"": ""BP"", ""brand:wikidata"": ""Q152057"", ""brand:wikipedia"": ""nl:BP (oliemaatschappij)"", ""compressed_air"": ""yes"", ""name"": ""BP De Boogaard"", ""opening_hours"": ""24/7"", ""operator"": ""BP"", ""operator:wikidata"": ""Q152057"", ""phone"": ""+31 70 394 0375"", ""source"": ""BAG"", ""source:date"": ""2014-02-11"", ""website"": ""https://map.bp.com/nl-NL/NL/tankstation/rijswijk/bp-de-boogaard/310562217""}"
P1,parking,52.0376546,4.3305374,"{""amenity"": ""parking"", ""name"": ""P1""}"
Bogaardplein P1,parking_entrance,52.0351878,4.3159694,"{""amenity"": ""parking_entrance"", ""barrier"": ""lift_gate"", ""fee"": ""yes"", ""name"": ""Bogaardplein P1"", ""operator"": ""Q-Park"", ""parking"": ""underground"", ""wheelchair"": ""yes""}"
PLUS,supermarket,52.0353665,4.3069515,"{""branch"": ""Jongenotter"", ""brand"": ""PLUS"", ""brand:wikidata"": ""Q1978981"", ""brand:wikipedia"": ""nl:PLUS (Nederlandse supermarkt)"", ""name"": ""PLUS"", ""opening_hours"": ""Mo-Sa 08:00-20:00; Su 10:00-18:00"", ""shop"": ""supermarket"", ""website"": ""https://www.plus.nl/supermarkten/rijswijk-zh/plus-jongenotter"", ""wheelchair"": ""yes""}"
(unnamed),parking,52.0440092,4.3348686,"{""amenity"": ""parking"", ""parking"": ""multi-storey""}"
PLAZA Premium Grand Winston,hotel,52.0383709,4.3238897,"{""addr:city"": ""Rijswijk"", ""addr:housenumber"": ""1"", ""addr:postcode"": ""2288AE"", ""addr:street"": ""Generaal Eisenhowerplein"", ""check_date"": ""2025-01-03"", ""email"": ""denhaag@plazahotels.nl"", ""internet_access"": ""wlan"", ""internet_access:fee"": ""no"", ""name"": ""PLAZA Premium Grand Winston"", ""operator"": ""PLAZA Hotelgroup"", ""payment:mastercard"": ""yes"", ""phone"": ""+31 70 4141500"", ""source"": ""local knowledge"", ""source:date"": ""2014-02-11"", ""tourism"": ""hotel"", ""website"": ""https://plazahotels.de/hotel-den-haag/""}"
(unnamed),parking,52.0388788,4.3084066,"{""amenity"": ""parking""}"
(unnamed),recycling,52.0383013,4.3050857,"{""amenity"": ""recycling"", ""location"": ""underground"", ""operator"": ""Avalex"", ""operator:wikidata"": ""Q58477507"", ""recycling:glass_bottles"": ""yes"", ""recycling:glass_bottles:colour"": ""mixed"", ""recycling_type"": ""container"", ""source"": ""survey""}"
(unnamed),recycling,52.0352533,4.3072516,"{""amenity"": ""recycling"", ""location"": ""underground"", ""recycling:clothes"": ""yes"", ""recycling:shoes"": ""yes"", ""recycling:textiles"": ""yes"", ""recycling_type"": ""container"", ""source"": ""survey""}"
(unnamed),parking,52.0386108,4.3253316,"{""amenity"": ""parking""}"
(unnamed),recycling,52.0314723,4.3235251,"{""amenity"": ""recycling"", ""location"": ""underground"", ""mapillary"": ""1028815107648966"", ""recycling:glass_bottles"": ""yes"", ""recycling:glass_bottles:colour"": ""mixed"", ""recycling:paper"": ""yes"", ""recycling_type"": ""container"", ""survey:date"": ""2018-09-10""}"
(unnamed),recycling,52.0337525,4.32095,"{""amenity"": ""recycling"", ""location"": ""underground"", ""operator"": ""Avalex"", ""operator:wikidata"": ""Q58477507"", ""recycling:clothes"": ""yes"", ""recycling:shoes"": ""yes"", ""recycling:textiles"": ""yes"", ""recycling_type"": ""container"", ""source"": ""survey""}"
(unnamed),post_box,52.0333821,4.3205083,"{""amenity"": ""post_box"", ""operator"": ""PostNL"", ""operator:wikidata"": ""Q5921598"", ""operator:wikipedia"": ""nl:PostNL""}"
(unnamed),bicycle_parking,52.0371779,4.323085,"{""access"": ""yes"", ""amenity"": ""bicycle_parking"", ""covered"": ""no""}"
Van Vredenburchweg,stop_position,52.052902,4.3273148,"{""name"": ""Van Vredenburchweg"", ""operator"": ""HTM"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""route_ref"": ""17"", ""shelter"": ""yes"", ""source"": ""HTM"", ""tram"": ""yes"", ""wheelchair"": ""yes"", ""zone"": ""5400""}"
(unnamed),parking,52.028213,4.3374022,"{""amenity"": ""parking""}"
(unnamed),recycling,52.0355272,4.3156903,"{""amenity"": ""recycling"", ""location"": ""underground"", ""recycling:glass_bottles"": ""yes"", ""recycling:glass_bottles:colour"": ""mixed"", ""recycling:pmd"": ""yes"", ""recycling_type"": ""container"", ""source"": ""survey""}"
(unnamed),post_box,52.0391061,4.3189619,"{""amenity"": ""post_box"", ""colour"": ""orange"", ""operator"": ""PostNL"", ""operator:wikidata"": ""Q5921598"", ""operator:wikipedia"": ""nl:PostNL""}"
(unnamed),post_box,52.0373979,4.3168826,"{""amenity"": ""post_box"", ""operator"": ""PostNL"", ""operator:wikidata"": ""Q5921598"", ""operator:wikipedia"": ""nl:PostNL""}"
Fietswinkel.nl,bicycle,52.0374071,4.3211006,"{""addr:city"": ""Rijswijk"", ""addr:housenumber"": ""198"", ""addr:postcode"": ""2284XW"", ""addr:street"": ""Generaal Eisenhowerplein"", ""name"": ""Fietswinkel.nl"", ""operator"": ""Fietswinkel.nl"", ""shop"": ""bicycle"", ""source"": ""BAG"", ""source:date"": ""2014-02-11"", ""website"": ""http://www.fietswinkel.nl""}"
Hoogvliet,supermarket,52.0385385,4.3146665,"{""addr:city"": ""Rijswijk"", ""addr:housenumber"": ""5"", ""addr:postcode"": ""2284DD"", ""addr:street"": ""Pr Johan Friso Promenade"", ""branch"": ""Rijswijk - In de Bogaard"", ""brand"": ""Hoogvliet"", ""brand:website"": ""https://www.hoogvliet.com"", ""brand:wikidata"": ""Q2770647"", ""brand:wikipedia"": ""nl:Hoogvliet (supermarkt)"", ""level"": ""0"", ""name"": ""Hoogvliet"", ""opening_hours"": ""Mo-Sa 08:00-20:00; Su 10:00-19:00"", ""phone"": ""+31 88 4572440"", ""shop"": ""supermarket"", ""source"": ""BAG"", ""source:date"": ""2023-02-17"", ""website"": ""https://www.hoogvliet.com/winkelinformatie/rijswijk-in-de-bogaard"", ""wheelchair"": ""yes""}"
(unnamed),recycling,52.0329509,4.2976438,"{""amenity"": ""recycling"", ""location"": ""underground"", ""operator"": ""Avalex"", ""operator:wikidata"": ""Q58477507"", ""recycling:green_waste"": ""yes"", ""recycling_type"": ""container"", ""source"": ""survey""}"
Gezondheidscentrum Nieuw Rijswijk,doctors,52.0374131,4.2997503,"{""addr:city"": ""Rijswijk"", ""addr:housenumber"": ""10"", ""addr:postcode"": ""2285SP"", ""addr:street"": ""Schaapweg"", ""amenity"": ""doctors"", ""healthcare"": ""doctor"", ""name"": ""Gezondheidscentrum Nieuw Rijswijk"", ""phone"": ""+31 70 393 7254"", ""website"": ""https://www.nieuwrijswijk.nl/""}"
Nieuw Rijswijk Apotheek,pharmacy,52.0374393,4.2998987,"{""amenity"": ""pharmacy"", ""name"": ""Nieuw Rijswijk Apotheek""}"
(unnamed),viewpoint,52.0318044,4.3369266,"{""tourism"": ""viewpoint""}"
Verffabriek,stop_position,52.0335471,4.3460789,"{""name"": ""Verffabriek"", ""network"": ""Rail Haaglanden"", ""network:wikidata"": ""Q108718111"", ""operator"": ""HTM"", ""operator:wikidata"": ""Q132168"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""route_ref"": ""1"", ""source"": ""HTM"", ""tram"": ""yes"", ""zone"": ""5416""}"
(unnamed),picnic_table,52.0314012,4.3456004,"{""covered"": ""no"", ""leisure"": ""picnic_table""}"
(unnamed),bench,52.0306,4.3457522,"{""amenity"": ""bench"", ""backrest"": ""yes""}"
(unnamed),post_box,52.0309681,4.3130666,"{""amenity"": ""post_box"", ""brand"": ""PostNL"", ""brand:wikidata"": ""Q5921598"", ""brand:wikipedia"": ""nl:PostNL"", ""lastcheck"": ""2018-09-25"", ""operator"": ""PostNL"", ""operator:wikidata"": ""Q5921598"", ""operator:wikipedia"": ""nl:PostNL""}"
"Rijswijk, Generaal Spoorlaan",stop_position,52.0429216,4.319953,"{""bus"": ""yes"", ""name"": ""Rijswijk, Generaal Spoorlaan"", ""public_transport"": ""stop_position""}"
"Rijswijk, Generaal Spoorlaan",stop_position,52.0428891,4.3203185,"{""bus"": ""yes"", ""name"": ""Rijswijk, Generaal Spoorlaan"", ""public_transport"": ""stop_position""}"
(unnamed),post_box,52.0448624,4.3178428,"{""amenity"": ""post_box"", ""colour"": ""orange"", ""operator"": ""PostNL"", ""operator:wikidata"": ""Q5921598"", ""operator:wikipedia"": ""nl:PostNL""}"
ANAC Carwash,car_wash,52.0346425,4.3155188,"{""amenity"": ""car_wash"", ""automated"": ""yes"", ""name"": ""ANAC Carwash"", ""self_service"": ""no""}"
Benu,pharmacy,52.0311675,4.3118594,"{""amenity"": ""pharmacy"", ""branch"": ""Apotheek"", ""brand"": ""Benu"", ""brand:wikidata"": ""Q62562792"", ""dispensing"": ""yes"", ""healthcare"": ""pharmacy"", ""name"": ""Benu"", ""wheelchair"": ""yes""}"
(unnamed),post_box,52.0406174,4.3246033,"{""amenity"": ""post_box"", ""colour"": ""orange"", ""operator"": ""PostNL"", ""operator:wikidata"": ""Q5921598"", ""operator:wikipedia"": ""nl:PostNL""}"
(unnamed),post_box,52.0461435,4.3280095,"{""amenity"": ""post_box"", ""check_date"": ""2021-10-14"", ""operator"": ""PostNL"", ""operator:wikidata"": ""Q5921598"", ""operator:wikipedia"": ""nl:PostNL"", ""source"": ""survey""}"
(unnamed),parking,52.0454255,4.3324865,"{""amenity"": ""parking""}"
Hoogvliet,supermarket,52.041143,4.3212959,"{""addr:city"": ""Rijswijk"", ""addr:housenumber"": ""300"", ""addr:postcode"": ""2283ZA"", ""addr:street"": ""Dr H. Colijnlaan"", ""branch"": ""Rijswijk - Dr. Colijnlaan"", ""brand"": ""Hoogvliet"", ""brand:website"": ""https://www.hoogvliet.com"", ""brand:wikidata"": ""Q2770647"", ""brand:wikipedia"": ""nl:Hoogvliet (supermarkt)"", ""name"": ""Hoogvliet"", ""opening_hours"": ""Mo-Fr 08:00-21:00; Sa 08:00-20:00; Su 09:00-20:00"", ""phone"": ""+31 88 4572590"", ""shop"": ""supermarket"", ""source"": ""BAG"", ""source:date"": ""2014-02-11"", ""website"": ""https://www.hoogvliet.com/winkelinformatie/rijswijk-dr-colijnlaan""}"
(unnamed),parking,52.0412,4.3225388,"{""amenity"": ""parking""}"
Moshi-Moshi,restaurant,52.0375701,4.3211434,"{""addr:city"": ""Rijswijk"", ""addr:housenumber"": ""192-196"", ""addr:postcode"": ""2284XW"", ""addr:street"": ""Generaal Eisenhowerplein"", ""amenity"": ""restaurant"", ""cuisine"": ""japanese"", ""name"": ""Moshi-Moshi"", ""website"": ""https://moshirijswijk.nl/""}"
Domino's,fast_food,52.0379468,4.3218708,"{""addr:city"": ""Rijswijk"", ""addr:housenumber"": ""4"", ""addr:postcode"": ""2284XV"", ""addr:street"": ""Generaal Eisenhowerplein"", ""amenity"": ""fast_food"", ""brand"": ""Domino's"", ""brand:wikidata"": ""Q839466"", ""brand:wikipedia"": ""nl:Domino's Pizza"", ""cuisine"": ""pizza"", ""name"": ""Domino's"", ""source"": ""BAG"", ""source:date"": ""2014-02-11"", ""takeaway"": ""yes"", ""website"": ""https://www.dominos.nl/winkel/nl-rijswijk-30581""}"
Gezondheidscentrum Het Kruispunt,doctors,52.0310797,4.311912,"{""amenity"": ""doctors"", ""healthcare"": ""centre"", ""name"": ""Gezondheidscentrum Het Kruispunt"", ""wheelchair"": ""yes""}"
Marea Alta,restaurant,52.028441,4.3144871,"{""amenity"": ""restaurant"", ""cuisine"": ""italian"", ""name"": ""Marea Alta""}"
Henry Dunant,pharmacy,52.0285289,4.3141446,"{""amenity"": ""pharmacy"", ""dispensing"": ""yes"", ""name"": ""Henry Dunant""}"
De Halve Maan,restaurant,52.037615,4.3236877,"{""amenity"": ""restaurant"", ""check_date"": ""2025-01-04"", ""name"": ""De Halve Maan""}"
's-Gravenmade,stop_position,52.0447905,4.3442652,"{""name"": ""'s-Gravenmade"", ""network"": ""Rail Haaglanden"", ""network:wikidata"": ""Q108718111"", ""operator"": ""HTM"", ""operator:wikidata"": ""Q132168"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""route_ref"": ""1"", ""shelter"": ""yes"", ""source"": ""HTM"", ""tram"": ""yes"", ""zone"": ""5416""}"
Volmerlaan (Zuid),stop_position,52.0360633,4.3316058,"{""bus"": ""yes"", ""name"": ""Volmerlaan (Zuid)"", ""public_transport"": ""stop_position""}"
Gall & Gall,alcohol,52.0356642,4.3154023,"{""addr:city"": ""Rijswijk"", ""addr:housenumber"": ""22"", ""addr:postcode"": ""2284DM"", ""addr:street"": ""Bogaardplein"", ""brand"": ""Gall & Gall"", ""brand:website"": ""https://www.gall.nl"", ""brand:wikidata"": ""Q13639185"", ""brand:wikipedia"": ""nl:Gall & Gall"", ""name"": ""Gall & Gall"", ""phone"": ""+31 70 3943242"", ""ref"": ""6637"", ""shop"": ""alcohol"", ""website"": ""https://www.gall.nl/winkels/details/?storeId=6637""}"
Gall & Gall,alcohol,52.0560097,4.3368646,"{""addr:street"": ""Willemstraat"", ""brand"": ""Gall & Gall"", ""brand:wikidata"": ""Q13639185"", ""brand:wikipedia"": ""nl:Gall & Gall"", ""name"": ""Gall & Gall"", ""ref"": ""6880"", ""shop"": ""alcohol""}"
Apotheek te Werve,pharmacy,52.0490915,4.3319719,"{""addr:city"": ""Rijswijk"", ""addr:housenumber"": ""16-17"", ""addr:postcode"": ""2282GS"", ""addr:street"": ""Hendrik Ravesteijnplein"", ""amenity"": ""pharmacy"", ""check_date"": ""2021-10-14"", ""healthcare"": ""pharmacy"", ""name"": ""Apotheek te Werve"", ""opening_hours"": ""Mo-Fr 08:30-17:30"", ""phone"": ""+31 70 399 2443"", ""source"": ""survey;BAG"", ""source:date"": ""2014-02-11"", ""website"": ""https://tewerve.medsenapotheek.nl/""}"
(unnamed),post_box,52.0484709,4.3317993,"{""amenity"": ""post_box"", ""check_date"": ""2021-10-14"", ""operator"": ""PostNL"", ""operator:wikidata"": ""Q5921598"", ""operator:wikipedia"": ""nl:PostNL"", ""source"": ""survey""}"
(unnamed),post_box,52.050158,4.3341964,"{""amenity"": ""post_box"", ""operator"": ""PostNL"", ""operator:wikidata"": ""Q5921598"", ""operator:wikipedia"": ""nl:PostNL""}"
(unnamed),post_box,52.055038,4.3327107,"{""amenity"": ""post_box"", ""collection_times:signed"": ""no"", ""operator"": ""PostNL"", ""operator:wikidata"": ""Q5921598"", ""operator:wikipedia"": ""nl:PostNL""}"
Bistro 't Poortje,restaurant,52.0552063,4.3338552,"{""addr:city"": ""Rijswijk"", ""addr:housenumber"": ""87/b"", ""addr:street"": ""Herenstraat"", ""amenity"": ""restaurant"", ""indoor_seating"": ""yes"", ""name"": ""Bistro 't Poortje"", ""opening_hours"": ""Tu-Su 17:30-18:00+"", ""outdoor_seating"": ""no"", ""phone"": ""+31 70 399 1199"", ""website"": ""https://www.hetpoortje.nl/home/""}"
Geldmaat,atm,52.055259,4.3344575,"{""addr:city"": ""Rijswijk"", ""addr:country"": ""NL"", ""addr:housenumber"": ""2"", ""addr:postcode"": ""2282CK"", ""addr:street"": ""Kerklaan"", ""amenity"": ""atm"", ""brand"": ""Geldmaat"", ""brand:wikidata"": ""Q74051230"", ""brand:wikipedia"": ""nl:Geldmaat"", ""cash_in"": ""no"", ""check_date"": ""2025-03-18"", ""indoor"": ""no"", ""name"": ""Geldmaat"", ""opening_hours"": ""24/7"", ""operator"": ""Geldmaat"", ""operator:wikidata"": ""Q74051230"", ""operator:wikipedia"": ""nl:Geldmaat"", ""source"": ""BAG;survey"", ""source:date"": ""2021-11-12"", ""wheelchair"": ""no""}"
(unnamed),recycling,52.0530919,4.3367824,"{""amenity"": ""recycling"", ""location"": ""underground"", ""recycling:paper"": ""yes"", ""recycling_type"": ""container"", ""source"": ""survey""}"
(unnamed),post_box,52.0531049,4.3368127,"{""amenity"": ""post_box"", ""brand"": ""PostNL"", ""brand:wikidata"": ""Q5921598"", ""brand:wikipedia"": ""nl:PostNL"", ""operator"": ""PostNL"", ""operator:wikidata"": ""Q5921598"", ""operator:wikipedia"": ""nl:PostNL""}"
(unnamed),bicycle_parking,52.0483861,4.3211517,"{""access"": ""private"", ""amenity"": ""bicycle_parking""}"
Subway,fast_food,52.0370524,4.3222954,"{""amenity"": ""fast_food"", ""brand"": ""Subway"", ""brand:wikidata"": ""Q244457"", ""brand:wikipedia"": ""en:Subway (restaurant)"", ""cuisine"": ""sandwich"", ""name"": ""Subway"", ""takeaway"": ""yes""}"
Bistro Le Petit Chef,restaurant,52.054671,4.3354202,"{""amenity"": ""restaurant"", ""check_date:opening_hours"": ""2025-01-17"", ""cuisine"": ""french"", ""email"": ""info@bistrolepetitchef.nl"", ""indoor_seating"": ""yes"", ""name"": ""Bistro Le Petit Chef"", ""opening_hours"": ""We,Th,Fr 08:30-23:00; Sa,Su 09:00-23:00"", ""outdoor_seating"": ""yes"", ""phone"": ""+31 70 785 7945"", ""website"": ""https://bistrolepetitchef.nl/""}"
Olympia,restaurant,52.0557707,4.3371126,"{""amenity"": ""restaurant"", ""cuisine"": ""greek"", ""name"": ""Olympia""}"
